Location,Village,Latitude,Longitude
MAHARASHTRA,KARANJI,19.9384408,74.5251775
MAHARASHTRA,GOWNDALA,17.669278,74.579281
MAHARASHTRA,DHODAP,20.4474667,76.3162816
MAHARASHTRA,LEHANI,20.1026344,76.7118254
MAHARASHTRA,PENBORI,20.0815694,76.8081354
MAHARASHTRA,GOBHNI,20.8036329,79.2765874
MAHARASHTRA,SUKLE,21.058763,78.982554
MAHARASHTRA,BALKHEDA,20.3622843,75.3154303
MAHARASHTRA,GHUNJAKHED,18.9681328,76.7275703
MAHARASHTRA,DHORKHEDA,20.0848544,76.9368453
MAHARASHTRA,SAWANGI VIR,20.711205,78.5723113
MAHARASHTRA,VAKAD,18.5986239,73.7436413
MAHARASHTRA,WADI,21.1459323,78.9728503
MAHARASHTRA,WAGHJAI,17.478448,73.5353503
MAHARASHTRA,VENI,20.3572041,78.7358903
MAHARASHTRA,MANGOL JANAK,19.980735,73.748521
MAHARASHTRA,BHAPUR,20.0689191,76.7314254
MAHARASHTRA,CHORD,18.919225,73.327722
MAHARASHTRA,DUSARBID,20.0086168,76.3013792
MAHARASHTRA,DEULGAON WAYASA,19.931058,76.589277
MAHARASHTRA,SUKALI,21.0599297,78.9720353
MAHARASHTRA,GOTRA,19.9227691,76.5487503
MAHARASHTRA,WADGAON,18.7377484,73.6304658
MAHARASHTRA,GAYKHED,19.751480,75.713888
MAHARASHTRA,DAHIFAL,20.3960691,77.8310354
MAHARASHTRA,MANDWA,18.6593976,73.2612585
MAHARASHTRA,CHOR PANGRA,20.0110314,76.3487792
MAHARASHTRA,GARKHED,20.0978727,76.153155
MAHARASHTRA,DHANDARWADI,19.8668516,76.0991653
MAHARASHTRA,BIBI,20.0200889,76.3721144
MAHARASHTRA,DANDARWADI,16.9346386,74.176021
MAHARASHTRA,VARDADI,20.8458392,73.9872404
MAHARASHTRA,LIMKHED,18.7380522,75.3045086
MAHARASHTRA,TADEGAON,17.2995096,74.3263292
MAHARASHTRA,SASKHEDA,19.8381342,76.3978503
MAHARASHTRA,LONAR,19.9766761,76.5037421
MAHARASHTRA,KESHAV SHIVNI,20.0399695,76.2790854
MAHARASHTRA,MALEGAON,20.5576416,74.5008657
MAHARASHTRA,MASLGA,18.24651,76.7079454
MAHARASHTRA,MASLGA,18.2464692,76.7079454
MAHARASHTRA,NANDANVAN,21.1331614,79.1172628
MAHARASHTRA,CHINCHOLI,18.8151598,74.1405853
MAHARASHTRA,KEDARWADI,17.0978385,74.2069709
MAHARASHTRA,MANDANI,19.5679197,76.7740003
MAHARASHTRA,RATOLI,18.7490846,77.4494981
MAHARASHTRA,PALASGAON,20.9144248,79.9056202
MAHARASHTRA,ALUWADGAON,18.7872051,77.4467453
MAHARASHTRA,KALAMBAR,18.5007649,77.3092353
MAHARASHTRA,MANGAL SAWNGI,20.7194198,78.5750452
MAHARASHTRA,ANTARGAON,19.8185566,79.0895033
MAHARASHTRA,KEDAR WADGAON,18.8093101,77.4196852
MAHARASHTRA,RAHATI,21.0908041,78.5760346
MAHARASHTRA,BABULKHED,20.1734345,76.5177584
MAHARASHTRA,BAIKHEDA,20.0142119,74.0041584
MAHARASHTRA,MOTHEGAON,20.0309066,76.7068153
MAHARASHTRA,GAWANDHALA,20.2000698,76.5614101
MAHARASHTRA,KARLI,18.7335485,74.1581667
MAHARASHTRA,HIRDAV,20.0067091,76.5823054
MAHARASHTRA,ANJANI BK,20.1779691,76.6387953
MAHARASHTRA,CHAIGAON,20.4648798,74.9729377
MAHARASHTRA,LINGA PEN,19.996312,76.756737
MAHARASHTRA,GANPUR,21.2850791,75.1337703
MAHARASHTRA,MEHKAR,20.1497702,76.5583776
MAHARASHTRA,YAVATMAL,20.3884338,78.0838672
MAHARASHTRA,SINGAON,20.0827068,76.0827631
MAHARASHTRA,PIR KALYAN,19.8602841,75.9850304
MAHARASHTRA,MAHORA,20.2611804,75.9215677
MAHARASHTRA,SHINDI KALEGAON,19.8158942,75.9615053
MAHARASHTRA,DAHA,19.8496241,76.3698153
MAHARASHTRA,SAVARGAV,19.1585367,74.2410503
MAHARASHTRA,GOLEGAON,19.212631,73.8844889
MAHARASHTRA,ANCHARVADI,20.312413,76.317414
MAHARASHTRA,AMBHORA,21.4967898,80.2203503
MAHARASHTRA,REVGAON,19.7552465,75.8640653
MAHARASHTRA,DEULGAON RAJA,20.0147244,76.024103
MAHARASHTRA,DEVGAON,19.560073,73.1332076
MAHARASHTRA,SOMNATH JALGAON,20.9849748,75.5870928
MAHARASHTRA,BHAROSA,20.2288687,76.2374407
MAHARASHTRA,PATODA,18.0664093,76.2161853
MAHARASHTRA,DAHEGAON,21.0442141,79.0065654
MAHARASHTRA,JAVLKHEDA,21.443984,78.8340337
MAHARASHTRA,KONAD,20.2495314,76.1317554
MAHARASHTRA,ARDA TOLAJI,19.7266791,76.3040804
MAHARASHTRA,SINDKHED RAJA,19.9541386,76.1058898
MAHARASHTRA,RAJEGAON,18.3469318,74.7526404
MAHARASHTRA,SOMNATH,19.8337598,76.0036852
MAHARASHTRA,BORAKHEDI,20.6743633,76.1835053
MAHARASHTRA,KANDHAR,18.8739755,77.1809184
MAHARASHTRA,KAKANDI,19.0699716,77.3666882
MAHARASHTRA,DAHIKALAMBA,18.9278748,77.3346903
MAHARASHTRA,KARALA,20.8871114,77.9218203
MAHARASHTRA,HIPPARGA,17.9188403,76.3983142
MAHARASHTRA,JAKAPUR,18.1377402,75.1535447
MAHARASHTRA,SANGUCHIWADI,18.9367401,77.2312452
MAHARASHTRA,CHIVALI,20.2591543,74.9333953
MAHARASHTRA,SUGAON,18.3991976,76.7289984
MAHARASHTRA,KIWALA,19.0375047,77.2855653
MAHARASHTRA,SOMTHANA,19.9276122,75.6665204
MAHARASHTRA,DHANAJ,19.1752247,77.3972003
MAHARASHTRA,GANGANBID,18.8603498,77.1263303
MAHARASHTRA,HADOLI,18.0130183,76.6943604
MAHARASHTRA,TAKALGAON,18.7630951,76.8942203
MAHARASHTRA,TEMBHURNI,18.0295933,75.1874717
MAHARASHTRA,ADGAON,20.0375976,73.8151101
MAHARASHTRA,UMARA,20.2219976,76.6551412
MAHARASHTRA,BENAL,19.480164,73.820954
MAHARASHTRA,KANDALA,18.7695498,73.3642818
MAHARASHTRA,KUPATI,20.5607343,77.5012054
MAHARASHTRA,HATOLA,18.9652627,75.2600545
MAHARASHTRA,INDARKAR WADI,18.715071,73.574136
MAHARASHTRA,ASOLA,20.054454,76.8093723
MAHARASHTRA,ANDHERA,20.169092,76.2137903
MAHARASHTRA,S RAJA,19.8132873,73.5740979
MAHARASHTRA,NALVIHIRA,20.200393,76.010177
MAHARASHTRA,KUMBHARI,17.649272,75.9849559
MAHARASHTRA,PAPAL,20.6438168,77.6501403
MAHARASHTRA,JAMBHORA,19.9466941,76.2602754
MAHARASHTRA,KACHANHIRA,17.263610,74.717612
MAHARASHTRA,YEVATA,21.1358298,77.4777001
MAHARASHTRA,DAWARGAON D,20.5456432,75.6618558
MAHARASHTRA,SAWARGAON,19.1586178,74.2410503
MAHARASHTRA,GOIROLI B,20.588936,78.497925
MAHARASHTRA,HIWARA KA,20.236418,76.491732
MAHARASHTRA,KHANAPUR-1,16.3168448,74.1419231
MAHARASHTRA,CHANGEFAL,19.9144394,76.3279803
MAHARASHTRA,DOLKHEDA,20.6533015,75.5441249
MAHARASHTRA,DEAULGAON T,20.0147647,76.0241029
MAHARASHTRA,GONDEGAON,20.1900398,74.8592552
MAHARASHTRA,MORI IKLI,19.121662,73.058975
MAHARASHTRA,MANGNALI,18.9003647,77.7854203
MAHARASHTRA,MALKAPUR PANGRA,20.0701761,76.331377
MAHARASHTRA,SONALA,21.1230076,76.7351598
MAHARASHTRA,BHANKHEDA,20.6615981,78.7054485
MAHARASHTRA,JAYPUR,21.1613484,78.9324222
MAHARASHTRA,RAJURA,19.7782329,79.355278
MAHARASHTRA,GEVRAI BAJAR,19.2596062,75.7323479
MAHARASHTRA,MALDI,16.2072198,73.5393502
MAHARASHTRA,SHIRSWADI,18.5833648,74.0727303
MAHARASHTRA,MARDI,17.8042852,75.8922565
MAHARASHTRA,KINHI RAJA,20.3309419,77.1309903
